code,name,address,latitude,longitude,summary,description,휴무일,운영시간,imageUrl,category
P0021,윤동주 하숙집 터,서울 종로구 누상동,37.58002688,126.9622647,청년 시인의 흔적이 남은 골목,"이곳은 시인 윤동주가 머물며 작품을 구상하던 장소입니다. 지금은 흔적만 남아 있지만, 그의 시와 청춘의 고민이 담긴 공간입니다. 조용한 골목을 걸으며 그의 시 한 구절을 떠올려보세요.",없음,상시개방,https://example.com/yoon.jpg,문화재
P0022,청운문학도서관,서울 종로구 자하문로36길 40,37.59037743,126.9659186,한옥에서 즐기는 특별한 독서 공간,청운문학도서관은 전통 한옥 구조로 지어진 도서관입니다. 자연과 어우러진 공간에서 책을 읽으며 여유로운 시간을 보낼 수 있습니다. 창밖 풍경과 함께 조용히 사색하기에 좋은 장소입니다.,월요일,09:00~18:00,https://example.com/library.jpg,문화재
P0023,통인시장,서울 종로구 자하문로15길 18,37.580767,126.9699476,엽전으로 즐기는 전통시장 체험,통인시장은 옛날 화폐인 엽전으로 도시락을 구성하는 독특한 체험으로 유명합니다. 다양한 전통 음식과 활기찬 분위기가 어우러져 색다른 즐거움을 줍니다. 잠시 쉬어가며 시장의 매력을 느껴보세요.,없음,09:00~21:00,https://example.com/market.jpg,문화재
P0024,흥인지문,서울 종로구 종로 288,37.57116727,127.0097037,서울 성곽의 동쪽을 지키던 대문,흥인지문은 조선시대 한양도성을 이루는 중요한 성문 중 하나입니다. 수백 년 동안 서울을 지켜온 이 문은 도시의 역사와 변화를 함께해왔습니다. 성곽을 따라 걸으며 옛 서울의 모습을 상상해보세요.,없음,상시개방,https://example.com/gate.jpg,문화재
P0025,이화동 벽화마을,서울 종로구 이화동,37.57699468,127.0043381,예술로 다시 태어난 골목,이화동 벽화마을은 오래된 골목에 다양한 벽화가 더해져 새로운 공간으로 재탄생한 곳입니다. 골목마다 숨겨진 그림과 풍경을 찾는 재미가 있습니다. 천천히 걸으며 작은 예술 여행을 즐겨보세요.,없음,상시개방,https://example.com/mural.jpg,문화재
P0026,전쟁기념관,서울 용산구 이태원로 29,37.53731405,126.9784661,전쟁의 기억과 평화를 생각하는 공간,"전쟁기념관은 한국 전쟁을 비롯한 다양한 전쟁의 역사를 전시하고 있는 공간입니다. 전시물과 기록을 통해 과거를 돌아보고, 평화의 의미를 다시 생각해볼 수 있습니다. 천천히 둘러보며 깊이 있는 시간을 가져보세요.",월요일,09:30~18:00,https://example.com/war.jpg,문화재
P0027,효창공원,서울 용산구 효창원로 177,37.54495,126.962289,독립운동가들이 잠든 의미 있는 공원,"효창공원에는 김구 선생을 비롯한 독립운동가들이 잠들어 있습니다. 이곳은 단순한 공원이 아니라, 우리의 역사를 기억하는 공간입니다. 조용히 걸으며 그들의 희생과 뜻을 되새겨보세요.",없음,상시개방,https://example.com/hyochang.jpg,문화재
P0028,광나루 한강공원,서울 광진구 강변북로 139,37.545286,127.119482,한강과 함께하는 여유로운 라이딩 공간,광나루 한강공원은 넓은 자전거 도로와 탁 트인 한강 풍경을 즐길 수 있는 공간입니다. 바람을 느끼며 달리다 보면 도심 속에서도 자연을 가까이 느낄 수 있습니다. 잠시 멈춰 한강의 여유를 즐겨보세요.,없음,상시개방,https://example.com/hangang.jpg,자연
P0029,암사동 선사유적지,서울 강동구 올림픽로 875,37.55985237,127.1308334,신석기 시대 삶을 만나는 역사 공간,암사동 선사유적지는 신석기 시대 사람들이 살았던 흔적이 남아 있는 곳입니다. 움집과 유물들을 통해 당시의 생활 모습을 직접 확인할 수 있습니다. 오래된 시간을 따라가며 인류의 시작을 느껴보세요.,월요일,09:00~18:00,https://example.com/amsa.jpg,문화재
P0030,150년 수령 느티나무,서울특별시 양천구 목동중앙본로1길 37 (목동),37.53762456,126.8687563,150년 수령 느티나무은(는) 서울의 대표적인 명소입니다.,150년 수령 느티나무은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0031,1898 명동성당,서울 중구 명동길 66,37.56392951,126.9860328,1898 명동성당은(는) 서울의 대표적인 명소입니다.,1898 명동성당은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0032,3.1독립선언기념탑,서울 서대문구 통일로 251,37.57360688,126.958333,3.1독립선언기념탑은(는) 서울의 대표적인 명소입니다.,3.1독립선언기념탑은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0033,3.1독립운동기념탑,서울특별시 중구 장충단로 59 (장충동2가),37.55199491,126.9992673,3.1독립운동기념탑은(는) 서울의 대표적인 명소입니다.,3.1독립운동기념탑은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0034,4·19학생혁명기념탑,서울특별시 강북구 4.19로8길 17 (수유동),37.64839067,127.0090713,4·19학생혁명기념탑은(는) 서울의 대표적인 명소입니다.,4·19학생혁명기념탑은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0035,4233마음센터 연남점,서울특별시 마포구 월드컵북로4길 43 (동교동) 지하1층,37.55820818,126.9215724,4233마음센터 연남점은(는) 서울의 대표적인 명소입니다.,4233마음센터 연남점은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0036,63스퀘어,서울 영등포구 63로 50,37.51981489,126.9402616,63스퀘어은(는) 서울의 대표적인 명소입니다.,63스퀘어은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0037,aT센터,서울특별시 서초구 강남대로 27 (양재동),37.46827871,127.0391364,aT센터은(는) 서울의 대표적인 명소입니다.,aT센터은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0038,CJ아지트 광흥창,서울특별시 마포구 창전로 14 (신정동),37.54424659,126.9303423,CJ아지트 광흥창은(는) 서울의 대표적인 명소입니다.,CJ아지트 광흥창은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0039,CTS아트홀,서울특별시 동작구 노량진로 100 (노량진동),37.51296927,126.9370032,CTS아트홀은(는) 서울의 대표적인 명소입니다.,CTS아트홀은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0040,CXC아트뮤지엄,서울특별시 광진구 아차산로 272 (자양동),37.53855827,127.0729962,CXC아트뮤지엄은(는) 서울의 대표적인 명소입니다.,CXC아트뮤지엄은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0041,e스포츠 명예의 전당,서울특별시 마포구 매봉산로 31 S-PLEX CENTER 시너지움 11층,37.57572697,126.8899726,e스포츠 명예의 전당은(는) 서울의 대표적인 명소입니다.,e스포츠 명예의 전당은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0042,GB가빈아트홀,서울특별시 강남구 삼성로 534 (삼성동),37.50967768,127.0555363,GB가빈아트홀은(는) 서울의 대표적인 명소입니다.,GB가빈아트홀은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0043,GB성암아트홀,서울특별시 강남구 선릉로111길 6 (논현동) 3층,37.51105342,127.043021,GB성암아트홀은(는) 서울의 대표적인 명소입니다.,GB성암아트홀은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0044,G밸리 4차산업체험관,서울특별시 구로구 디지털로26길 111 (구로동) JNK디지털타워 지하 1층,37.48258279,126.897046,G밸리 4차산업체험관은(는) 서울의 대표적인 명소입니다.,G밸리 4차산업체험관은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0045,JCC아트센터,서울특별시 종로구 창경궁로35길 29 (혜화동),37.58718318,127.0018857,JCC아트센터은(는) 서울의 대표적인 명소입니다.,JCC아트센터은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0046,JTN아트홀,서울특별시 종로구 이화장길 26 (이화동),37.57664412,127.0039323,JTN아트홀은(는) 서울의 대표적인 명소입니다.,JTN아트홀은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0047,KBS온,서울특별시 영등포구 여의공원로 13 (여의도동),37.52596989,126.9167168,KBS온은(는) 서울의 대표적인 명소입니다.,KBS온은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0048,kia360,서울특별시 강남구 압구정로 417 (압구정동),37.52755858,127.0428869,kia360은(는) 서울의 대표적인 명소입니다.,kia360은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0049,KstarROAD,서울 강남구 압구정동 394,37.52808838,127.0299913,KstarROAD은(는) 서울의 대표적인 명소입니다.,KstarROAD은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0050,KT&G 상상마당 홍대,서울특별시 마포구 어울마당로 65,37.5509577,126.921063,KT&G 상상마당 홍대은(는) 서울의 대표적인 명소입니다.,KT&G 상상마당 홍대은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0051,KT&G상상마당 대치아트홀,서울특별시 강남구 영동대로 416 (대치동),37.50658411,127.0653266,KT&G상상마당 대치아트홀은(는) 서울의 대표적인 명소입니다.,KT&G상상마당 대치아트홀은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0052,K-컬처 스크린(대한민국역사박물관),서울특별시 종로구 세종대로 198 (세종로),37.57371361,126.9783394,K-컬처 스크린(대한민국역사박물관)은(는) 서울의 대표적인 명소입니다.,K-컬처 스크린(대한민국역사박물관)은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0053,K현대미술관,서울특별시 강남구 선릉로 807 (신사동),37.52437942,127.0391717,K현대미술관은(는) 서울의 대표적인 명소입니다.,K현대미술관은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0054,LG아트센터 서울,서울특별시 강서구 마곡중앙로 136 (마곡동),37.56536299,126.8293888,LG아트센터 서울은(는) 서울의 대표적인 명소입니다.,LG아트센터 서울은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0055,MUSEUM 209,서울특별시 송파구 잠실로 209 (신천동) 소피텔 앰배서더 호텔 3층,37.51386537,127.1060997,MUSEUM 209은(는) 서울의 대표적인 명소입니다.,MUSEUM 209은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0056,OPCI,서울특별시 영등포구 영중로 15 (영등포동4가) 타임스퀘어 지하 1층,37.51723326,126.903716,OPCI은(는) 서울의 대표적인 명소입니다.,OPCI은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0057,PKM갤러리,서울특별시 종로구 삼청로7길 40 (삼청동),37.58409165,126.9800824,PKM갤러리은(는) 서울의 대표적인 명소입니다.,PKM갤러리은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0058,SCC홀,서울특별시 서초구 남부순환로325길 9 (서초동),37.48173214,127.0145111,SCC홀은(는) 서울의 대표적인 명소입니다.,SCC홀은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0059,SJ쿤스트할레,서울특별시 강남구 언주로148길 5 (논현동),37.52050861,127.0349173,SJ쿤스트할레은(는) 서울의 대표적인 명소입니다.,SJ쿤스트할레은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0060,TINC,서울특별시 성북구 동소문로10길 34-16 명성교회,37.5890758,127.0115763,TINC은(는) 서울의 대표적인 명소입니다.,TINC은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0061,가회동성당,서울특별시 종로구 북촌로 57 (가회동),37.58203348,126.9846468,가회동성당은(는) 서울의 대표적인 명소입니다.,가회동성당은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0062,가회민화박물관,서울 종로구 북촌로 52,37.58150962,126.985228,가회민화박물관은(는) 서울의 대표적인 명소입니다.,가회민화박물관은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0063,간송미술관(서울 보화각),서울특별시 성북구 성북로 102-11 (성북동),37.59446244,126.9962385,간송미술관(서울 보화각)은(는) 서울의 대표적인 명소입니다.,간송미술관(서울 보화각)은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0064,갈산공원,서울특별시 양천구 신정동 162-56,37.50620509,126.8685185,갈산공원은(는) 서울의 대표적인 명소입니다.,갈산공원은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0065,강남 마이스 관광특구,서울특별시 강남구 영동대로 513 (삼성동),37.51182391,127.059159,강남 마이스 관광특구은(는) 서울의 대표적인 명소입니다.,강남 마이스 관광특구은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0066,강동문화원,서울특별시 강동구 상암로 168 (천호동),37.54573141,127.1412225,강동문화원은(는) 서울의 대표적인 명소입니다.,강동문화원은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0067,강동숲속도서관,서울특별시 강동구 구천면로 587 (상일동),37.55130234,127.1637846,강동숲속도서관은(는) 서울의 대표적인 명소입니다.,강동숲속도서관은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0068,강동아트센터,서울특별시 강동구 동남로 870 (상일동),37.55122046,127.1573425,강동아트센터은(는) 서울의 대표적인 명소입니다.,강동아트센터은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0069,강서별빛우주과학관,서울특별시 강서구 금낭화로 178 (방화동) (방화근린공원 내),37.58103267,126.814718,강서별빛우주과학관은(는) 서울의 대표적인 명소입니다.,강서별빛우주과학관은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0070,강서습지생태공원,서울 강서구 방화동 25,37.58581442,126.818317,강서습지생태공원은(는) 서울의 대표적인 명소입니다.,강서습지생태공원은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0071,강서아트리움,서울특별시 강서구 가로공원로 195 (화곡동),37.53754309,126.8376421,강서아트리움은(는) 서울의 대표적인 명소입니다.,강서아트리움은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0072,강서역사문화거리,서울특별시 강서구 양천로 291 (마곡동),37.57218009,126.8366517,강서역사문화거리은(는) 서울의 대표적인 명소입니다.,강서역사문화거리은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0073,개봉유수지 생태공원,서울특별시 구로구 개봉동 195-7,37.49227428,126.8634327,개봉유수지 생태공원은(는) 서울의 대표적인 명소입니다.,개봉유수지 생태공원은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0074,개화산 호국공원,서울특별시 강서구 개화동 산 81-13,37.58074618,126.8025641,개화산 호국공원은(는) 서울의 대표적인 명소입니다.,개화산 호국공원은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0075,갤러리 구루지,서울특별시 구로구 가마산로25길 21,37.49712336,126.8895927,갤러리 구루지은(는) 서울의 대표적인 명소입니다.,갤러리 구루지은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0076,갤러리 라메르,서울특별시 종로구 인사동5길 26 (관훈동),37.57258198,126.9848681,갤러리 라메르은(는) 서울의 대표적인 명소입니다.,갤러리 라메르은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
P0077,갤러리 마노,서울특별시 강남구 압구정로46길 71 2층,37.5240995,127.0365894,갤러리 마노은(는) 서울의 대표적인 명소입니다.,갤러리 마노은(는) 서울의 역사와 문화를 느낄 수 있는 장소입니다. 천천히 둘러보며 그 의미를 경험해보세요.,연중무휴,상시개방,https://example.com/image.jpg,문화재
